???,?????,??????????,???????,??????? ??????????????,????????????,???????????,??????,????? ???????? ??????????,??????? ???????? ??????????,????? ???????????? ??????????,??????? ??????????? ??????????,?????
track253,14520,15,0,968,7920,0,7920,23232,1548.8,70803840,2172.615014,14520
track254,2460,6,0,410,2460,0,2460,4100,683.3333333,5043000,916.7878708,2460
track255,480,27,0,17.77777778,300,0,300,853.3333333,31.60493827,99466.66667,60.69555682,480
track256,30900,26,0,1188.461538,30900,0,30900,59423.07692,2285.502959,918086538.5,5942.307692,30900
track257,5280,17,4020,310.5882353,4020,0,4020,8477.647059,498.6851211,15330494.12,949.6282281,5280
track258,0,16,0,0,0,0,0,0,0,0,0,0
track259,3240,18,0,180,3240,0,3240,6120,340,9914400,742.1590126,3240
track260,18240,33,0,552.7272727,9600,0,9600,33163.63636,1004.958678,119863854.5,1905.843125,18240
track261,0,5,0,0,0,0,0,0,0,0,0,0
track262,0,18,0,0,0,0,0,0,0,0,0,0
track263,7320,17,3060,430.5882353,4200,0,4200,12797.64706,752.8027682,23855294.12,1184.589632,7320
track264,0,9,0,0,0,0,0,0,0,0,0,0
track265,0,3,0,0,0,0,0,0,0,0,0,0
track266,7680,11,0,698.1818182,7680,0,7680,13963.63636,1269.421488,53620363.64,2207.844766,7680
track267,18360,33,0,556.3636364,12420,0,12420,32421.81818,982.4793388,159265963.6,2196.870802,18360
track268,3000,22,1500,136.3636364,3000,0,3000,5727.272727,260.3305785,8590909.091,624.8966857,3000
track269,0,9,0,0,0,0,0,0,0,0,0,0
track270,0,15,0,0,0,0,0,0,0,0,0,0
track271,0,6,0,0,0,0,0,0,0,0,0,0
track272,3960,27,0,146.6666667,3960,0,3960,7626.666667,282.4691358,15100800,747.8561953,3960
track273,0,26,0,0,0,0,0,0,0,0,0,0
track274,8340,17,0,490.5882353,5460,0,5460,14717.64706,865.7439446,34014494.12,1414.514968,8340
track275,0,16,0,0,0,0,0,0,0,0,0,0
track276,1620,18,0,90,1620,0,1620,3060,170,2478600,371.0795063,1620
track277,26640,33,0,807.2727273,12540,0,12540,48436.36364,1467.768595,235555854.5,2671.714094,26640
track278,0,5,0,0,0,0,0,0,0,0,0,0
track279,23460,18,1230,1303.333333,14640,0,14640,39100,2172.222222,230254600,3576.579682,23460
track280,1601,17,0,94.17647059,1601,0,1601,3013.647059,177.2733564,2412424.471,376.7058824,1601
track281,0,9,0,0,0,0,0,0,0,0,0,0
track282,0,3,0,0,0,0,0,0,0,0,0,0
track283,480,11,0,43.63636364,420,0,420,785.4545455,71.40495868,159054.5455,120.2476783,480
track284,11820,33,0,358.1818182,6900,0,6900,21490.90909,651.2396694,61534690.91,1365.535647,11820
track285,9840,22,0,447.2727273,6420,0,6420,17890.90909,813.2231405,48511636.36,1484.949285,9840
track286,660,9,0,73.33333333,660,0,660,1173.333333,130.3703704,387200,207.4179891,660
track287,18900,15,0,1260,15180,0,15180,30240,2016,213859202,3775.881372,18900
track288,0,6,0,0,0,0,0,0,0,0,0,0
track289,5460,27,0,202.2222222,2820,0,2820,10111.11111,374.4855967,13817866.67,715.383002,5460
track290,2599,26,0,99.96153846,2599,0,2599,4998.076923,192.2337278,6495000.962,499.8076923,2599
track291,5820,17,0,342.3529412,5820,0,5820,10955.29412,644.4290657,31879905.88,1369.411765,5820
track292,0,16,0,0,0,0,0,0,0,0,0,0
track293,11299,18,0,627.7222222,11239,0,11239,21222.55556,1179.030864,119226087.6,2573.649458,11299
track294,25579,33,0,775.1212121,11040,0,11040,44957.0303,1362.334252,179986255.5,2335.407664,25579
track295,0,5,0,0,0,0,0,0,0,0,0,0
track296,5659,18,0,314.3888889,3379,0,3379,9820.444444,545.5802469,14318514.28,891.8929394,5659
track297,0,17,0,0,0,0,0,0,0,0,0,0
track298,0,9,0,0,0,0,0,0,0,0,0,0
track299,0,3,0,0,0,0,0,0,0,0,0,0
track300,4140,11,0,376.3636364,4140,0,4140,7527.272727,684.2975207,15581454.55,1190.166319,4140
track301,7819,33,0,236.9393939,4399,0,4399,14216.36364,430.7988981,24658971.88,864.4313576,7819
track302,3420,22,0,155.4545455,3420,0,3420,6529.090909,296.7768595,11164745.45,712.3822217,3420
track303,0,9,0,0,0,0,0,0,0,0,0,0
track304,17299,15,0,1153.266667,9480,0,9480,27678.4,1845.226667,114966000.9,2768.46529,17299
track305,0,6,0,0,0,0,0,0,0,0,0,0
track306,7939,27,0,294.037037,4560,0,4560,14701.85185,544.5130316,29876880.96,1051.927349,7939
track307,11580,26,0,445.3846154,11580,0,11580,22269.23077,856.5088757,128938846.2,2226.923077,11580
track308,8760,17,1440,515.2941176,7320,0,7320,15458.82353,909.3425606,51142023.53,1734.460817,8760
track309,0,16,0,0,0,0,0,0,0,0,0,0
track310,0,18,0,0,0,0,0,0,0,0,0,0
track311,12120,33,0,367.2727273,6720,0,6720,22770.90909,690.0275482,69867054.55,1455.054456,12120
track312,0,5,0,0,0,0,0,0,0,0,0,0
track313,24060,18,0,1336.666667,21780,0,21780,42173.33333,2342.962963,446218600,4978.947903,24060
track314,9101,17,480,535.3529412,8621,0,8621,16171.29412,951.2525952,69679793.88,2024.552149,9101
track315,5280,9,0,586.6666667,5280,0,5280,9386.666667,1042.962963,24780800,1659.343913,5280
track316,0,3,0,0,0,0,0,0,0,0,0,0
track317,420,11,0,38.18181818,420,0,420,763.6363636,69.4214876,160363.6364,120.7415107,420
track318,16680,33,0,505.4545455,10140,0,10140,31338.18182,949.6418733,137160218.2,2038.717795,16680
track319,1200,22,600,54.54545455,1200,0,1200,2290.909091,104.1322314,1374545.455,249.9586743,1200
track320,660,9,0,73.33333333,660,0,660,1173.333333,130.3703704,387200,207.4179891,660
track321,1920,15,0,128,1920,0,1920,3584,238.9333333,3440640,478.9321455,1920
track322,480,6,0,80,480,0,480,800,133.3333333,192000,178.8854382,480
track323,15480,27,0,573.3333333,9360,0,9360,27520,1019.259259,109564800,2014.436784,15480
track324,20400,26,0,784.6153846,19980,0,19980,38390.76923,1476.568047,383370646.2,3839.92511,20400
track325,2280,17,1440,134.1176471,1440,0,1440,4023.529412,236.6782007,2473411.765,381.4378189,2280
track326,0,16,0,0,0,0,0,0,0,0,0,0
track327,22020,18,0,1223.333333,13680,0,13680,36700,2038.888889,195502600,3295.641903,22020
track328,5640,33,0,170.9090909,4320,0,4320,10596.36364,321.1019284,19440872.73,767.539807,5640
track329,0,5,0,0,0,0,0,0,0,0,0,0
